id,date,price,bedrooms,bathrooms,sqft_living,yr_built,condition
7527200030,2014-12-29,700000.0,5,2.5,2830.0,1979,5.0
3300701615,2014-09-30,655000.0,3,2.5,1900.0,2002,3.0
9528102996,2014-12-07,549000.0,3,1.75,1540.0,2014,3.0
2008200060,2014-06-24,160000.0,3,1.5,1010.0,1962,4.0
3394100030,2014-09-09,975000.0,4,2.5,2720.0,1989,3.0
3010300240,2014-06-23,577000.0,3,2.5,2060.0,1976,3.0
3969300030,2014-12-29,239900.0,4,1.0,1000.0,1943,3.0
8562501040,2014-11-20,452000.0,4,1.5,1580.0,1963,4.0
6979900390,2014-05-29,565000.0,4,2.5,2440.0,1996,3.0
3253500160,2014-11-20,317625.0,3,2.75,2770.0,1925,3.0
7214810350,2014-10-17,467000.0,5,2.25,2500.0,1979,3.0
7199330390,2014-06-24,415000.0,3,1.75,1070.0,1977,3.0
3717000160,2014-10-09,287000.0,4,2.5,2240.0,2005,3.0
1959700550,2014-09-05,740000.0,4,2.0,2050.0,1922,4.0
3649100320,2015-04-30,330000.0,2,1.0,1220.0,1950,5.0
9468200125,2014-08-26,480000.0,2,1.0,1030.0,1918,4.0
1545804860,2014-10-27,275000.0,3,3.0,1590.0,1997,3.0
3126049411,2014-12-09,340000.0,2,2.5,1900.0,1997,3.0
7202331420,2014-06-20,650000.0,4,2.5,3040.0,2003,3.0
259900160,2015-01-02,748000.0,4,3.5,1900.0,2001,3.0
339500160,2014-10-08,662000.0,3,1.75,2500.0,1984,3.0
9500900135,2014-10-21,200000.0,3,1.5,1210.0,1958,4.0
6431000270,2014-07-28,565000.0,2,1.0,960.0,1911,5.0
3211290370,2014-06-05,463000.0,3,2.5,1900.0,1992,3.0
8562750320,2014-11-10,580500.0,3,2.5,2320.0,2003,3.0
8722101360,2014-12-02,780000.0,3,1.0,1660.0,1911,3.0
5379805460,2015-01-21,245000.0,3,1.5,1360.0,1949,5.0
9277200111,2014-07-14,650000.0,4,1.75,2010.0,1963,4.0
5104510270,2014-07-18,338900.0,4,2.5,1830.0,2003,3.0
257000138,2015-01-15,280000.0,2,1.0,850.0,1923,3.0
6300000287,2014-06-09,430000.0,3,1.0,1410.0,1956,4.0
1088650310,2015-01-27,530000.0,4,2.5,2320.0,2004,3.0
8563040160,2015-01-21,560000.0,4,2.25,2550.0,1968,3.0
2078500320,2014-06-20,605000.0,4,2.5,2620.0,1996,3.0
1402600700,2014-07-21,359900.0,4,2.25,2470.0,1983,3.0
1604601375,2014-06-19,378750.0,3,,2160.0,1909,3.0
205000520,2014-10-06,737500.0,4,2.5,3200.0,1993,3.0
1588600045,2014-12-15,459000.0,2,1.75,1170.0,1929,3.0
2767603505,2014-05-07,519950.0,3,2.25,1170.0,2014,3.0
3832710960,2014-09-23,260000.0,3,2.0,1810.0,1978,4.0
1687900520,2014-09-29,673000.0,4,2.25,2590.0,1980,4.0
7972000240,2015-02-02,240000.0,3,1.75,1510.0,1969,3.0
8018600765,2014-06-04,240500.0,3,1.75,1460.0,1997,3.0
4348800030,2014-11-21,727500.0,2,2.0,1240.0,1952,4.0
1442860160,2015-01-07,380000.0,3,2.5,2280.0,1985,4.0
3278600240,2014-07-22,430000.0,2,2.5,1400.0,2007,3.0
3904901710,2015-02-24,435500.0,3,2.25,1450.0,1985,3.0
1521069070,2015-02-18,204000.0,3,1.0,1040.0,1971,4.0
8078560140,2014-05-19,290000.0,4,2.5,1700.0,1988,4.0
3134100116,2014-08-27,470000.0,5,1.75,2030.0,1942,4.0
6145600041,2014-05-14,306000.0,3,1.5,1220.0,2007,3.0
9297300045,2014-07-09,550000.0,3,2.0,1970.0,1929,5.0
200350070,2014-06-02,559900.0,3,2.75,2930.0,2004,3.0
424069250,2015-04-23,785000.0,4,2.75,1900.0,1989,4.0
2024069128,2014-11-10,1030000.0,3,2.5,3545.0,2005,3.0
9550201550,2015-04-08,640000.0,2,1.0,1070.0,1924,3.0
2824079053,2015-01-13,440000.0,3,2.5,1910.0,1997,3.0
3261020370,2014-06-05,653000.0,3,2.5,2680.0,1979,4.0
5466000030,2014-06-03,328500.0,3,2.5,1950.0,1990,4.0
7694800270,2015-04-20,636000.0,3,2.5,2140.0,2007,3.0
5196410260,2015-04-22,1000000.0,3,2.5,3180.0,1991,3.0
7280300196,2015-04-03,550000.0,4,2.75,1800.0,1965,4.0
2424000060,2014-06-16,500000.0,4,2.75,2280.0,1960,5.0
6388900710,2014-12-19,430000.0,3,2.5,1900.0,1988,3.0
822039084,2015-03-11,430000.0,3,2.5,2753.0,1953,5.0
2423069155,2014-11-20,430000.0,4,2.0,2090.0,1984,4.0
2201500030,2014-10-06,420000.0,4,1.0,1750.0,1954,4.0
2599001200,2014-11-03,305000.0,5,2.25,2660.0,1961,5.0
2944000240,2015-04-22,910000.0,4,2.5,3350.0,1988,3.0
2287000060,2014-09-12,799000.0,3,2.5,2140.0,1959,4.0
6145601000,2014-07-11,429950.0,4,1.0,1760.0,1947,3.0
7589200193,2014-11-10,535000.0,3,1.0,1090.0,1929,4.0
2426039314,2014-12-01,280000.0,2,1.5,1190.0,2005,3.0
1222069094,2014-10-14,385000.0,3,1.75,1350.0,1969,4.0
723099065,2015-01-30,465000.0,3,2.0,1840.0,1994,3.0
1123049053,2015-02-13,360000.0,4,2.5,1840.0,1996,3.0
809002765,2014-10-22,610000.0,3,1.0,1180.0,1907,3.0
3754700160,2014-05-06,397000.0,4,2.0,1440.0,1971,3.0
4027700812,2014-05-29,452000.0,4,2.25,2590.0,1968,4.0
8820901275,2014-06-10,571000.0,4,2.0,2750.0,1916,5.0
2391600320,2015-04-20,480000.0,3,1.0,1040.0,1941,3.0
5693500270,2015-01-21,715000.0,4,1.0,2000.0,1911,4.0
4215100060,2015-03-20,365000.0,3,2.5,2653.0,2006,3.0
3422049190,2015-03-30,247500.0,3,1.75,1900.0,1967,3.0
3329500060,2014-07-28,430000.0,4,2.5,2250.0,1982,3.0
3832200070,2014-12-22,250000.0,4,1.75,1710.0,1968,5.0
6874200960,2015-02-27,170000.0,2,1.0,860.0,1931,3.0
1653500070,2014-05-12,927000.0,4,2.75,3300.0,1953,3.0
7010700292,2014-10-09,543500.0,3,2.25,1270.0,1970,3.0
1796380960,2014-11-26,223000.0,3,2.0,1670.0,1990,3.0
7203600550,2014-08-04,325000.0,2,1.0,1060.0,1946,4.0
4217401195,2015-03-03,920000.0,5,2.25,2730.0,1927,3.0
3432500200,2015-04-09,329999.0,3,1.0,1150.0,1952,3.0
8960000030,2014-07-28,215000.0,3,1.0,1900.0,1967,4.0
1099611230,2014-09-12,199000.0,4,1.5,1160.0,1975,4.0
4036801170,2014-10-13,380000.0,4,1.75,1760.0,1956,3.0
3211100860,2015-03-03,274250.0,3,1.0,910.0,1962,4.0
616000140,2015-01-26,315000.0,3,1.0,1900.0,1954,4.0
2972300060,2014-12-17,405300.0,3,2.75,2390.0,1983,5.0
1222000055,2014-11-23,180250.0,2,0.75,900.0,1941,3.0
1118500030,2014-10-01,810000.0,4,2.5,3520.0,1991,3.0
1545808560,2015-04-03,245000.0,3,2.5,1530.0,1996,5.0
4402700070,2015-03-11,300000.0,2,1.0,1100.0,1950,4.0
1133000671,2014-06-02,315000.0,3,1.0,960.0,1952,3.0
1736800520,2015-04-03,662500.0,3,2.5,3560.0,1965,3.0
3793500550,2014-08-08,289950.0,3,2.5,1670.0,2002,3.0
9545230140,2014-07-25,597750.0,4,2.5,2310.0,1984,3.0
1180003090,2014-09-06,190000.0,2,1.0,630.0,1943,3.0
3814400125,2014-10-16,493000.0,4,2.0,1910.0,1910,3.0
6300000550,2014-07-17,464000.0,6,3.0,2300.0,1920,3.0
1762600320,2014-06-10,430000.0,5,4.0,3760.0,1983,3.0
7771300125,2015-04-08,487000.0,3,2.0,2590.0,1948,5.0
1223039290,2014-09-05,430000.0,4,2.5,2120.0,1993,3.0
3454800060,2015-01-08,171800.0,4,2.0,1570.0,1950,3.0
4233400400,2015-04-14,267000.0,3,2.0,1300.0,1994,3.0
2310030510,2015-04-22,320000.0,4,2.25,1550.0,1993,3.0
3830630060,2014-09-29,245000.0,3,2.5,1730.0,1987,3.0
3620069036,2014-10-21,265000.0,3,1.75,1820.0,1966,3.0
1873100390,2015-03-02,719000.0,4,2.5,2570.0,2005,3.0
1062100116,2015-01-21,475000.0,3,,1640.0,1969,3.0
5468730030,2014-08-22,265000.0,3,2.0,1900.0,1993,3.0
7437100340,2014-12-22,360000.0,4,2.5,1900.0,1992,3.0
1566100400,2014-09-24,387500.0,3,1.0,1220.0,1946,3.0
2747100024,2014-06-19,576000.0,3,2.5,1940.0,1948,4.0
9542300320,2015-02-02,856600.0,4,2.25,2400.0,1964,4.0
7852180340,2014-09-30,430000.0,3,2.5,2360.0,2003,3.0
1560930070,2014-09-11,840000.0,4,3.5,2840.0,1986,4.0
1025049114,2014-07-17,625504.0,3,2.25,1270.0,2014,3.0
4403600270,2015-02-24,970000.0,4,3.25,1900.0,1987,3.0
9169600135,2014-10-27,430000.0,3,1.5,1350.0,1950,3.0
2008000270,2015-01-15,291850.0,3,1.5,1060.0,1963,3.0
5200100125,2014-10-27,430000.0,3,2.0,1980.0,1929,4.0
3530210260,2014-10-27,274975.0,3,2.5,3030.0,1987,3.0
5694500105,2014-12-04,595000.0,2,2.0,1510.0,1900,4.0
4315700060,2015-03-03,378000.0,2,2.0,1300.0,1963,3.0
5631500400,2015-02-25,180000.0,2,1.0,770.0,1933,3.0
2612000390,2014-06-15,269950.0,3,2.5,1890.0,2002,3.0
1923069078,2014-08-05,890000.0,4,3.25,3180.0,2005,3.0
6909200575,2015-03-14,685000.0,3,2.0,2060.0,1931,5.0
7852020640,2014-10-20,470000.0,3,2.5,2100.0,1999,3.0
3300701170,2014-06-20,395000.0,3,1.0,1500.0,1925,3.0
2827100070,2014-11-05,290000.0,4,1.0,1330.0,1949,3.0
2710600045,2014-06-16,460000.0,3,1.75,1550.0,1949,4.0
2123039032,2014-10-27,430000.0,1,0.75,760.0,1936,5.0
2826049234,2015-01-14,425000.0,3,2.25,1900.0,1967,3.0
9542850320,2014-07-25,790000.0,3,2.25,2370.0,1977,4.0
6414100671,2014-09-09,425000.0,3,1.75,2500.0,1957,3.0
1531000030,2015-03-23,720000.0,4,2.5,3450.0,2002,3.0
8075400570,2014-10-30,258000.0,5,2.0,2260.0,1960,4.0
7325600160,2014-06-04,299000.0,1,0.75,560.0,1967,3.0
808300310,2015-03-13,430000.0,4,2.25,2130.0,2001,3.0
3353401710,2014-09-23,227950.0,3,1.5,1670.0,1954,5.0
3204800200,2015-01-08,665000.0,4,2.75,3320.0,1960,5.0
4022907770,2014-10-14,550000.0,4,1.75,1900.0,1958,3.0
8929000270,2014-05-12,453246.0,3,2.5,2010.0,2014,3.0
624111000,2014-08-05,950000.0,3,3.0,4040.0,1986,3.0
4014400292,2015-01-14,465000.0,3,2.5,2714.0,2005,3.0
708000030,2014-09-02,888000.0,3,1.5,1900.0,1953,4.0
9822700295,2014-05-12,885000.0,4,2.5,1900.0,1995,3.0
3626039299,2015-02-24,588000.0,3,1.0,1910.0,1951,4.0
8078570390,2015-04-15,260000.0,3,2.5,1920.0,1989,3.0
2998800125,2014-07-01,730000.0,2,2.25,2130.0,1941,4.0
1959701890,2014-07-29,865000.0,4,1.75,1800.0,1921,4.0
7549802535,2014-11-11,423000.0,4,2.0,1970.0,1920,5.0
7203000640,2014-09-18,215000.0,4,1.0,1130.0,1969,4.0
1775800800,2015-02-24,396000.0,3,1.0,1500.0,1967,3.0
1516000055,2014-12-10,650000.0,3,2.25,2150.0,1959,4.0
8669160310,2014-12-09,266000.0,3,2.5,1805.0,2009,3.0
582000135,2014-06-22,565000.0,2,1.75,1330.0,1914,4.0
2944010240,2014-09-08,988000.0,4,3.0,4040.0,1987,3.0
7199350340,2014-08-25,430000.0,3,1.75,1440.0,1980,3.0
3179100435,2014-07-15,641000.0,2,1.0,1420.0,1953,3.0
7504101040,2014-08-21,722500.0,5,,4870.0,1983,3.0
7899800890,2015-02-26,181000.0,2,1.5,720.0,1954,3.0
7942601895,2014-08-19,640000.0,3,2.5,1900.0,1903,3.0
4045500710,2014-12-18,405000.0,2,0.75,1900.0,1937,4.0
2791500270,2014-05-22,243500.0,4,2.5,1980.0,1988,3.0
4338800370,2014-11-17,220000.0,3,1.0,1000.0,1944,3.0
8123100045,2015-04-14,470000.0,4,3.0,2380.0,1925,4.0
1494300060,2014-06-11,522000.0,3,1.75,1900.0,1980,4.0
8718500075,2014-11-17,396000.0,3,1.5,1300.0,1956,5.0
8029200135,2014-11-13,247000.0,3,2.0,1270.0,1916,3.0
925059288,2015-05-07,750000.0,3,2.5,1900.0,2001,3.0
9545240070,2015-04-28,660500.0,4,2.25,2010.0,1986,3.0
1432701230,2014-07-29,309000.0,3,1.0,1280.0,1959,4.0
1525059190,2014-09-12,1040000.0,5,3.25,4770.0,1973,4.0
6607000126,2014-06-04,375000.0,4,1.75,2200.0,1955,5.0
8857600960,2014-08-19,205000.0,3,1.0,1900.0,1960,4.0
6379500159,2014-09-11,400000.0,3,2.25,1190.0,2008,3.0
921049315,2014-08-13,199000.0,3,1.75,1320.0,1956,4.0
9418400240,2014-10-28,355000.0,2,1.0,1900.0,1948,3.0
2558660270,2014-12-08,370000.0,3,1.75,1580.0,1976,3.0
2617300160,2014-08-12,420000.0,3,2.0,2020.0,1975,4.0
5101402488,2014-06-24,438000.0,3,1.75,1520.0,1948,3.0
7905370390,2014-10-09,475000.0,5,2.5,2340.0,1975,3.0
3663500060,2014-06-25,400000.0,3,2.5,1900.0,1962,4.0
5152100060,2014-05-29,472000.0,6,2.5,4410.0,1965,4.0
2171400197,2014-09-18,350000.0,5,3.0,2520.0,2004,3.0
1742800060,2014-06-12,501000.0,3,1.75,1970.0,1976,5.0
3655000070,2014-08-05,220000.0,4,1.75,2020.0,1968,3.0
7994700030,2014-10-23,201000.0,5,1.75,1660.0,1915,3.0
4232901525,2014-06-27,665000.0,2,1.0,1110.0,1925,3.0
1321400060,2014-06-27,257500.0,3,2.25,1715.0,1995,3.0
2525000510,2014-11-06,328000.0,3,1.75,1900.0,1983,3.0
5149300200,2014-09-02,316500.0,3,1.75,1600.0,1979,3.0
5416510140,2014-07-10,360000.0,4,2.5,2380.0,2005,3.0
8648100200,2014-10-27,331500.0,4,2.5,2050.0,1998,3.0
1840000030,2014-05-29,267500.0,3,1.75,1590.0,1957,3.0
1526069017,2014-12-03,921500.0,4,2.5,3670.0,1994,4.0
1115450240,2014-10-22,360000.0,4,2.5,2160.0,1992,3.0
3677400445,2014-09-02,475000.0,3,1.5,2480.0,1947,5.0
5611500140,2014-08-22,686000.0,4,2.5,2760.0,1999,3.0
1726059053,2014-09-16,270000.0,2,1.5,1380.0,1954,1.0
1243100136,2014-06-12,784000.0,3,3.5,3950.0,1989,3.0
98020310,2014-05-20,730000.0,4,,3230.0,2004,3.0
8856950240,2014-06-18,322500.0,4,2.5,1820.0,1994,3.0
726049331,2015-03-26,515000.0,5,3.0,2530.0,2005,3.0
1138020200,2014-09-03,435000.0,4,1.5,1510.0,1970,3.0
936000060,2014-11-14,310000.0,5,1.75,2190.0,1947,4.0
7766200013,2014-08-11,775000.0,4,2.25,4220.0,1984,3.0
9828702519,2014-05-12,490000.0,2,2.5,1230.0,2004,3.0
1853000400,2015-03-05,680000.0,4,2.5,3140.0,1991,4.0
7852110140,2014-07-18,552250.0,4,2.5,2580.0,2002,3.0
9478500640,2014-08-19,292500.0,4,2.5,2250.0,2008,3.0
1873100060,2014-08-29,430000.0,4,2.5,2460.0,2006,3.0
6665800030,2014-07-18,590000.0,4,2.75,2910.0,1975,3.0
7812800565,2014-08-14,289500.0,3,1.0,960.0,1944,4.0
7972000200,2014-05-29,264950.0,3,2.25,1720.0,1978,4.0
8677300550,2014-05-15,592500.0,4,2.5,2240.0,1983,3.0
9542830350,2014-09-02,430000.0,4,2.5,1780.0,2006,3.0
8078490390,2014-07-29,295000.0,3,2.0,1810.0,1991,3.0
3814700200,2014-11-20,329000.0,3,2.25,2450.0,1985,4.0
7230200340,2015-02-25,305000.0,3,1.0,1250.0,1967,5.0
2757000030,2014-09-22,855000.0,4,2.75,2270.0,1965,3.0
5416510830,2014-08-06,300000.0,4,2.5,1910.0,2005,3.0
7231300125,2015-02-17,345000.0,5,2.5,3150.0,1966,4.0
2946001550,2015-04-16,279000.0,6,1.75,2240.0,1955,4.0
9485951170,2014-05-22,480000.0,4,2.25,3250.0,1983,4.0
7518503335,2014-05-19,475000.0,2,1.0,1490.0,1929,3.0
191100045,2014-07-03,940000.0,4,2.0,1900.0,1968,5.0
1509500060,2014-09-05,370000.0,4,2.5,2720.0,1992,3.0
